Gene	Exon_coord	Upstream_exon_coord	Downstream_exon_coord	hHistology
THBS3-AS1	155196899-155197017	155195089-155195372	155198402-155198618	Choroid plexus tumor
EIF4G3	21001199-21001312	20980333-20980448	21002712-21002808	Choroid plexus tumor
EIF4G3	21001199-21001324	20980333-20980448	21002712-21002808	Choroid plexus tumor
LUC7L	190541-190570	188968-190135	192926-193015	Choroid plexus tumor
NUDT7	77736650-77736743	77725430-77725584	77741581-77741969	Choroid plexus tumor
LTBP2	74528958-74529122	74527346-74527366	74532425-74532548	Choroid plexus tumor
PLEKHA6	204256802-204256888	204250545-204250614	204257352-204257869	Choroid plexus tumor
SEPTIN7-DT	35755733-35755817	35751907-35755195	35758178-35758273	Choroid plexus tumor
CFAP97D2	114200325-114200443	114196395-114196476	114211911-114212101	Choroid plexus tumor
LETMD1	51056144-51056245	51052091-51052207	51056349-51056428	Choroid plexus tumor
CNTN2	205070426-205070538	205069826-205070061	205071946-205072133	Choroid plexus tumor
STX5	62831019-62831110	62827560-62827631	62831953-62832042	Choroid plexus tumor
STX5	62831019-62831262	62827560-62827631	62831953-62832031	Choroid plexus tumor
SPAG6	22345723-22346046	22345497-22345636	22364852-22365019	Choroid plexus tumor
CERS3-AS1	100380744-100380827	100372935-100372992	100399768-100399925	Choroid plexus tumor
MBNL3	132439435-132440314	132406227-132406392	132488850-132489038	Choroid plexus tumor
SLC15A2	121922220-121922302	121915615-121915693	121922774-121922861	Choroid plexus tumor
SCNN1A	6349164-6349221	6348949-6349005	6349326-6349405	Choroid plexus tumor
ATP7B	51958311-51958400	51957515-51957607	51960147-51960322	Choroid plexus tumor
SYDE1	15109056-15109397	15107400-15107521	15109703-15110348	Choroid plexus tumor
SYDE1	15109257-15109397	15107404-15107521	15109703-15110348	Choroid plexus tumor
DUS3L	5786749-5786919	5786466-5786542	5787060-5787171	Choroid plexus tumor
IGSF9	159942963-159943151	159937685-159937838	159943396-159943628	Choroid plexus tumor
ACP5	11578585-11578764	11577592-11577679	11578843-11578979	Choroid plexus tumor
ENSG00000272970	184727400-184727580	184715693-184716174	184737551-184737771	Choroid plexus tumor
COL17A1	104045758-104045793	104043824-104043860	104046746-104046773	Choroid plexus tumor
NEK10	27162461-27162601	27143444-27143474	27162700-27162738	Choroid plexus tumor
CACNA1C	2648475-2648507	2634296-2634380	2651639-2651747	Choroid plexus tumor
DGKZ	46377073-46377212	46376523-46376564	46378197-46378229	Choroid plexus tumor
CAPRIN2	30753344-30753559	30751070-30751133	30754680-30754792	Choroid plexus tumor
PHC1	8933207-8933350	8932562-8932813	8933864-8934000	Choroid plexus tumor
ME1	83407768-83407901	83398366-83398516	83430876-83431051	Choroid plexus tumor
TTLL9	31938159-31938263	31937395-31937509	31939141-31939266	Choroid plexus tumor
MEF2D	156467993-156468299	156463726-156467656	156468779-156469020	Choroid plexus tumor
SPATA13	24222819-24224582	24017666-24017701	24249476-24249842	Choroid plexus tumor
CCDC187	136274658-136274749	136268048-136268125	136274882-136275007	Choroid plexus tumor
SYCP2	59877385-59877555	59875270-59875469	59878007-59878045	Choroid plexus tumor
RING1	33209915-33210130	33209559-33209786	33211728-33212002	Choroid plexus tumor
CCDC60	119528615-119528746	119523692-119523818	119530873-119531063	Choroid plexus tumor
PTPRM	8252488-8252499	8248149-8248176	8253226-8253414	Choroid plexus tumor
MEAK7	84502721-84502862	84497933-84498111	84503957-84504147	Choroid plexus tumor
CFAP54	96630093-96630204	96626812-96626939	96630550-96630651	Choroid plexus tumor
ODAD1	48311994-48312116	48311552-48311666	48318386-48318576	Choroid plexus tumor
LINC00893	149537633-149537778	149536172-149536255	149538114-149538172	Choroid plexus tumor
ZBBX	167298305-167298458	167282237-167282495	167313973-167314116	Choroid plexus tumor
WNK2	93306777-93306821	93300050-93300149	93308327-93308584	Choroid plexus tumor
CACNA2D4	1914854-1914935	1913022-1913139	1918246-1918473	Choroid plexus tumor
ENSG00000259495	80397944-80398006	80373412-80380153	80403501-80403575	Choroid plexus tumor
LYPLA2	23793860-23793930	23793652-23793752	23794062-23794136	Choroid plexus tumor
DEPDC5	31861368-31861433	31857444-31857553	31870589-31870744	Craniopharyngioma
ACAP2	195312947-195312967	195308785-195308837	195320700-195320813	Craniopharyngioma
TCF7	134144797-134144869	134143591-134143640	134146223-134148210	Craniopharyngioma
RAPGEF1	131619051-131619206	131603960-131604053	131621795-131621998	Craniopharyngioma
RHBDL3	32288792-32289016	32265831-32266300	32294293-32294442	Craniopharyngioma
ADGRV1	90679552-90679629	90676079-90676209	90681314-90681454	Craniopharyngioma
SORBS2	185676997-185677638	185666113-185666206	185678422-185678478	Craniopharyngioma
PTPRD	9734533-9734571	9574731-9574781	9766809-9766851	Craniopharyngioma
RNF10	120554718-120554808	120552498-120552698	120557281-120557466	Craniopharyngioma
DDR1	30880898-30881125	30876420-30876559	30888687-30888814	Craniopharyngioma
ENSG00000244255	31928732-31928917	31927723-31927798	31933609-31933783	Craniopharyngioma
HNRNPM	8474167-8474244	8471325-8471427	8483157-8483211	Craniopharyngioma
THAP6	75521736-75521861	75516771-75516979	75526959-75527214	Craniopharyngioma
BLNK	96215321-96215389	96209837-96209907	96216652-96216734	Craniopharyngioma
ENSG00000285756	3818442-3818500	3817527-3817778	3828505-3829387	Craniopharyngioma
HCFC2	104086847-104087014	104082712-104082901	104087985-104088038	Craniopharyngioma
NDUFA7	8320857-8320906	8316495-8316645	8321307-8321375	Craniopharyngioma
CRYZL2P	178034705-178034801	178026154-178026255	178037693-178037801	Craniopharyngioma
CASC15	21742917-21743042	21668646-21668899	21758392-21758534	Craniopharyngioma
KRBA2	8371600-8372081	8369104-8370386	8375899-8375979	Craniopharyngioma
MED13L	116232059-116232156	116230532-116230622	116236820-116236890	Craniopharyngioma
EDN3	59322372-59322417	59321016-59321193	59324326-59325992	Craniopharyngioma
TCF7L2	113158667-113158717	113158020-113158069	113160618-113160691	Craniopharyngioma
NPL	182792232-182792286	182789292-182789805	182794355-182794439	Craniopharyngioma
BTN3A3	26443570-26443659	26443366-26443442	26443956-26444284	Craniopharyngioma
RAP1B	68654112-68654252	68651994-68652051	68656305-68656348	Craniopharyngioma
DSG1-AS1	31364149-31364285	31354311-31354453	31426832-31426988	Craniopharyngioma
SMARCA5	143540363-143540495	143538785-143538938	143543508-143543657	Craniopharyngioma
PAXBP1	32743248-32743314	32738172-32738319	32743677-32743754	Craniopharyngioma
PIK3CD	9691467-9691571	9651730-9651802	9710423-9710596	Craniopharyngioma
IFT88	20592335-20592404	20591617-20591681	20596149-20596240	Craniopharyngioma
HNRNPLL	38591530-38591641	38585643-38585881	38602437-38603036	Craniopharyngioma
SPNS1	28983786-28983957	28983191-28983290	28984204-28984540	Craniopharyngioma
SP3	173910165-173910257	173907885-173907965	173913069-173913266	Craniopharyngioma
SLC44A2	10627920-10628004	10626252-10626301	10631056-10631141	Craniopharyngioma
BICDL1	120074443-120074586	120072510-120072729	120080886-120081017	Craniopharyngioma
RAPGEF4	172922281-172922300	172917801-172917874	172960759-172960813	Craniopharyngioma
ZFHX4	76842655-76842771	76833337-76833406	76848994-76849071	Craniopharyngioma
ARFGAP1	63276091-63276200	63275576-63275640	63276479-63276547	Craniopharyngioma
NT5C2	103111745-103111805	103105705-103105801	103139405-103139479	Craniopharyngioma
ELP2	36170063-36170196	36166965-36167222	36171046-36171160	Craniopharyngioma
C4orf36	86890048-86890158	86888120-86888275	86891455-86891593	Craniopharyngioma
ALG13	111722793-111722857	111721602-111721711	111723797-111723898	Craniopharyngioma
FCGRT	49525457-49525561	49524506-49524776	49526009-49526428	Craniopharyngioma
FSTL4	133224190-133224216	133220747-133220866	133225149-133225284	Craniopharyngioma
AKAP14	119914699-119914878	119903494-119903586	119919910-119919963	Craniopharyngioma
CASK	41555600-41555635	41553718-41553915	41559778-41559847	Craniopharyngioma
IL17RE	9903397-9903412	9902830-9903064	9904031-9904151	Craniopharyngioma
DLAT	112045863-112045970	112045137-112045230	112051233-112051349	Craniopharyngioma
BNC2	16727797-16727997	16582982-16583085	16870645-16870747	Craniopharyngioma
BNC2	16738360-16738485	16582982-16583085	16870645-16870670	Craniopharyngioma
ZNF202	123740117-123740232	123730509-123730985	123740416-123740536	Craniopharyngioma
TSPAN9	3281734-3281817	3281197-3281329	3283044-3286559	Craniopharyngioma
ZNF383	37219599-37219749	37217925-37218274	37224817-37224879	Craniopharyngioma
MAP3K5	136650984-136651091	136642519-136642569	136656306-136656460	Craniopharyngioma
CYP39A1	46630963-46631070	46625417-46625508	46636388-46636482	Craniopharyngioma
NAPB	23402993-23403072	23394921-23394999	23421304-23421414	Craniopharyngioma
TNNT2	201365191-201365307	201363926-201364375	201365609-201365670	Craniopharyngioma
NADK	1755374-1755476	1754543-1754698	1756257-1756327	Craniopharyngioma
PAICS	56453603-56453761	56451871-56452052	56459371-56459499	Craniopharyngioma
ZBTB20	115071219-115071414	114974365-114974416	115144812-115144909	Craniopharyngioma
PRKD3	37277866-37277989	37275766-37275844	37279745-37279929	Craniopharyngioma
MEOX1	43643488-43643660	43640388-43642032	43661065-43661393	Craniopharyngioma
ENSG00000286129	22307533-22307591	22307105-22307245	22308696-22308819	Craniopharyngioma
CLEC7A	10126571-10126708	10125296-10125448	10127746-10127845	Craniopharyngioma
FBN3	8109631-8109753	8109226-8109388	8110844-8110967	Craniopharyngioma
MORC3	36333646-36333718	36320188-36320303	36336873-36337006	Craniopharyngioma
CALML4	68205121-68205151	68199540-68199681	68205244-68205332	Craniopharyngioma
CASC15	21742917-21743042	21668646-21668899	21783631-21783708	Craniopharyngioma
TRMT2B	101037917-101038051	101036973-101037073	101041316-101041371	Craniopharyngioma
RENBP	153941950-153942031	153941477-153941653	153942854-153943079	Craniopharyngioma
VPS13C	62023780-62023845	62023410-62023520	62028357-62028420	Craniopharyngioma
FRAS1	78466208-78466435	78464442-78464583	78469977-78470091	Craniopharyngioma
PICK1	38070838-38070891	38069032-38069122	38071681-38071728	Craniopharyngioma
CDS1	84643024-84643143	84640837-84640990	84645221-84645325	Craniopharyngioma
SUSD3	93075784-93075972	93058687-93058830	93077845-93077993	Craniopharyngioma
DYNC1I1	95828057-95828116	95810391-95810506	95869882-95869998	Craniopharyngioma
MAEA	1322381-1322503	1315396-1315600	1327626-1327703	Craniopharyngioma
MLPH	237534564-237534647	237527376-237527516	237540347-237540446	Craniopharyngioma
TCF7L2	113159920-113159992	113158020-113158069	113160618-113160691	Craniopharyngioma
ADGRL1	14152133-14152150	14147742-14151615	14152308-14152437	Craniopharyngioma
MAP4K4	101859643-101859864	101855976-101856138	101864929-101865036	Craniopharyngioma
ANKRD10	110900530-110900661	110892956-110893263	110906032-110906124	Craniopharyngioma
ST7L	112555868-112556018	112541950-112542090	112576985-112577088	Craniopharyngioma
PTPN12	77571078-77571186	77537294-77537645	77581426-77581465	Craniopharyngioma
FECH	57559145-57559243	57554844-57554952	57562873-57562980	Craniopharyngioma
PRKD3	37289356-37289513	37286176-37286369	37290867-37290962	Craniopharyngioma
ZSCAN25	99619048-99619132	99618524-99618651	99619560-99619816	Craniopharyngioma
SCAPER	76857809-76857879	76841733-76841931	76862415-76862533	Craniopharyngioma
RBBP8	22929383-22929437	22915419-22915485	22936753-22936883	Craniopharyngioma
INTS2	61919400-61919513	61911939-61912070	61921724-61921827	Craniopharyngioma
WDR82	52260385-52260501	52259716-52259872	52261379-52261479	Craniopharyngioma
ELP2	36146250-36146381	36145947-36146048	36154849-36154999	Craniopharyngioma
COL8A1	99744897-99745021	99638474-99638664	99790679-99791010	Craniopharyngioma
NSD2	1938451-1938532	1935143-1935262	1939653-1939778	Craniopharyngioma
CACNG5	66877230-66877528	66835116-66835250	66878971-66879058	Craniopharyngioma
CACNG5	66877269-66877528	66835116-66835250	66878971-66879058	Craniopharyngioma
EMC1	19243950-19244015	19243613-19243707	19244905-19245030	Craniopharyngioma
MIR205HG	209431743-209431825	209430424-209430500	209432203-209432549	Craniopharyngioma
PRDM1	106106371-106106499	106104824-106105933	106106910-106107508	Craniopharyngioma
PNPO	47945559-47945616	47944615-47944715	47945860-47945989	Craniopharyngioma
PHYHD1	128937757-128937778	128936582-128936645	128941444-128941571	Craniopharyngioma
MBNL1	152456267-152456361	152455541-152455577	152459270-152459327	Craniopharyngioma
CUEDC1	57871286-57871369	57866473-57866544	57872662-57872670	Craniopharyngioma
VMP1	59731383-59731522	59707705-59707748	59735337-59735473	Craniopharyngioma
VMP1	59731421-59731522	59707647-59707748	59735337-59735473	Craniopharyngioma
FGFR1	38421797-38421941	38419532-38419735	38423024-38423175	Craniopharyngioma
CLMP	123074702-123074816	123073484-123073774	123083084-123083207	Craniopharyngioma
CLMP	123074702-123074843	123069871-123073774	123083084-123083207	Craniopharyngioma
CLMP	123074702-123074850	123073705-123073774	123083084-123083207	Craniopharyngioma
PCSK7	117208897-117209046	117207969-117208064	117218465-117218568	Craniopharyngioma
PCSK7	117208897-117209053	117207969-117208064	117218465-117218568	Craniopharyngioma
SBDS	66994220-66994341	66993216-66993417	66995289-66995566	Craniopharyngioma
KCNE1	34458654-34458736	34446689-34449684	34511100-34511243	Craniopharyngioma
FAM111A	59144809-59144896	59143496-59143695	59145826-59145856	Craniopharyngioma
NDFIP1	142135730-142135817	142132211-142132342	142140562-142140629	Craniopharyngioma
MGAT1	180808648-180809066	180784781-180793097	180815413-180815541	Craniopharyngioma
FHAD1	15317824-15317928	15316377-15316467	15324451-15324559	Craniopharyngioma
TNPO3	129005016-129005159	129001058-129001234	129014978-129015135	Craniopharyngioma
ZNF706	101202333-101202452	101201715-101201743	101205853-101206193	Craniopharyngioma
CACNA1D	53762551-53762634	53761997-53762081	53769972-53770017	Craniopharyngioma
PATJ	61833358-61833377	61827421-61827583	61833653-61833785	Craniopharyngioma
PIK3CD-AS2	9680712-9681135	9672404-9672719	9687334-9687573	Craniopharyngioma
AK7	96449802-96449879	96446516-96446607	96451420-96451570	Craniopharyngioma
FAM228B	24164198-24164335	24146937-24147086	24167626-24167669	Craniopharyngioma
FAT2	151537793-151537946	151534408-151534642	151540566-151540763	Craniopharyngioma
SCEL	77593514-77593573	77591394-77591460	77597544-77597589	Craniopharyngioma
CBWD2	113465129-113465173	113462407-113462494	113482176-113482228	Craniopharyngioma
SREBF2	41877942-41878123	41875542-41875724	41880715-41880992	Craniopharyngioma
UBE4A	118374896-118375229	118373493-118373685	118376573-118376694	Craniopharyngioma
UBAP2L	154249239-154249437	154246203-154246375	154251040-154251100	Craniopharyngioma
MIR205HG	209430425-209430476	209428817-209429408	209431742-209431825	Craniopharyngioma
MIR205HG	209430425-209430500	209428819-209429408	209431742-209431825	Craniopharyngioma
CNGB1	57915249-57915335	57912929-57912994	57916128-57916179	Craniopharyngioma
EPB41L1	36125423-36125527	36122678-36122747	36173763-36173954	Craniopharyngioma
HLA-DOA	33007080-33007215	33004181-33006841	33007310-33007592	Craniopharyngioma
EHF	34651737-34651805	34651541-34651610	34656907-34656970	Craniopharyngioma
GARS1-DT	30577649-30578091	30576563-30576710	30579230-30579314	Craniopharyngioma
AMTN	70522758-70522838	70518762-70518831	70523867-70523933	Craniopharyngioma
PRKRIP1	102407434-102407498	102404356-102404683	102425013-102425446	Craniopharyngioma
ADCY10P1	41127545-41127608	41124484-41124820	41132293-41132513	Craniopharyngioma
TANGO6	69022828-69022979	68973871-68974168	69040307-69040421	Craniopharyngioma
PPOX	161169660-161169720	161168992-161169183	161170619-161170769	DIPG or DMG
AFDN	167872214-167872377	167870382-167870498	167875334-167875495	DIPG or DMG
C16orf89	5060286-5060436	5058492-5058610	5062424-5062574	DIPG or DMG
FAM189A2	69388158-69388450	69385794-69385947	69391600-69392439	DIPG or DMG
CEP131	81192736-81192843	81192475-81192593	81193925-81194127	DIPG or DMG
RPS3	75404020-75404207	75401639-75402446	75404671-75404855	DIPG or DMG
SILC1	5969330-5969486	5968585-5969238	5982772-5982857	DIPG or DMG
CHKB-CPT1B	50581420-50581553	50580564-50580660	50581748-50582965	DIPG or DMG
MBOAT2	8908621-8908716	8888017-8888073	8943186-8943264	DIPG or DMG
EEF1D	143590645-143590738	143589643-143590081	143597347-143597415	DIPG or DMG
VAPB	58438945-58439025	58418210-58418363	58440906-58441083	DIPG or DMG
CRTC3	90540039-90540137	90529922-90530203	90593635-90593755	DIPG or DMG
SH3D19	151187423-151187463	151179354-151179397	151226046-151226066	DIPG or DMG
SIGMAR1	34636997-34637089	34634721-34635858	34637219-34637420	DIPG or DMG
NSUN6	18648490-18648645	18616183-18616293	18651128-18651587	DIPG or DMG
ANKRD33B	10618333-10618462	10564069-10564833	10638027-10638168	DIPG or DMG
MED15	20518878-20518995	20508056-20508444	20537116-20537183	DIPG or DMG
NSL1	212766189-212766273	212738561-212738686	212782371-212782426	DIPG or DMG
CCT6A	56061747-56061849	56060806-56060940	56062682-56062755	DIPG or DMG
FGF5	80274909-80275012	80266663-80267179	80286324-80288958	DIPG or DMG
HLA-DMB	32935536-32935652	32934628-32934987	32937171-32937456	DIPG or DMG
GABBR2	98480932-98480997	98473145-98473346	98496412-98496514	DIPG or DMG
GPR173	53070988-53071110	53049282-53049484	53076524-53076778	DIPG or DMG
RSRC2	122506834-122506923	122503453-122505706	122508217-122508447	DIPG or DMG
EPN2	19281955-19282077	19237365-19237531	19282949-19283005	DIPG or DMG
PLPP4	120513911-120514001	120503817-120503926	120589302-120589851	DIPG or DMG
SERPINE2	223982681-223982781	223977543-223977627	223984751-223984950	DIPG or DMG
C1orf162	111477334-111477428	111476797-111477078	111477982-111478512	DIPG or DMG
ZNF610	52353682-52353808	52349144-52349235	52365697-52367122	DIPG or DMG
ENSG00000286001	304177-304221	272710-272772	314416-314955	DIPG or DMG
DENND4A	65761367-65761438	65756139-65756472	65792009-65792124	DIPG or DMG
DKK3	11998696-11998779	11968394-11968487	12002299-12002437	DIPG or DMG
ZNF618	113969117-113969160	113876281-113876413	113988320-113988580	DIPG or DMG
ZBTB16	114186952-114187038	114156336-114156434	114242166-114242337	DIPG or DMG
HERC5	88486115-88486228	88479352-88479507	88489165-88489336	DIPG or DMG
SLC25A13	96189581-96189674	96189293-96189378	96191108-96191247	DIPG or DMG
CFAP69	90309263-90309367	90307767-90307854	90310067-90310288	DIPG or DMG
A2ML1	8829727-8829779	8823719-8823882	8834661-8834682	DIPG or DMG
SEZ6L	26365372-26365566	26351051-26351243	26377672-26377720	DIPG or DMG
SEZ6L	26375575-26375689	26351051-26351243	26377672-26377775	DIPG or DMG
SEZ6L	26375578-26375689	26351051-26351243	26377672-26377720	DIPG or DMG
L3MBTL1	43530798-43530889	43530283-43530419	43532772-43532924	DIPG or DMG
LONRF2	100299226-100299319	100298835-100298950	100299716-100299918	DIPG or DMG
NOTCH1	136515981-136516094	136515482-136515716	136517271-136517385	DIPG or DMG
TACC1	38788704-38788819	38787235-38787743	38825307-38825368	DIPG or DMG
GABBR1	29630522-29630643	29627485-29627646	29631395-29631599	DIPG or DMG
TNR	175363708-175363827	175362662-175362809	175365009-175365279	DIPG or DMG
