Gene	Exon_coord	Upstream_exon_coord	Downstream_exon_coord	Histology
C2orf73	54334817-54334850	54330901-54331001	54343719-54343873	Choroid plexus tumor
ADSL	40364880-40365056	40364275-40364365	40366435-40366489	Choroid plexus tumor
DPY19L2P2	103226214-103226379	103225104-103225164	103233799-103233886	Choroid plexus tumor
ENSG00000234350	170726043-170726089	170723127-170723593	170727284-170727328	Choroid plexus tumor
SPATA18	52060782-52060897	52051460-52051791	52076778-52077040	Choroid plexus tumor
C2orf73	54334817-54335024	54330883-54331001	54343719-54343873	Choroid plexus tumor
COA1	43657216-43657269	43648599-43648652	43665657-43665722	Choroid plexus tumor
IL15RA	5963743-5963838	5960394-5960567	5966144-5966339	Craniopharyngioma
UPK3B	76513084-76513163	76511534-76511882	76513946-76514048	Craniopharyngioma
ZNF518A	96155326-96155398	96133555-96133648	96155923-96156019	Craniopharyngioma
TNFRSF19	23585456-23585545	23570411-23570848	23590149-23590252	Craniopharyngioma
CCDC91	28225795-28225861	28190445-28190641	28305648-28305806	Craniopharyngioma
KIAA1217	24542693-24542770	24533069-24533237	24544980-24545103	Craniopharyngioma
AFMID	78205603-78205738	78205439-78205518	78205945-78206050	Craniopharyngioma
AFMID	78205603-78205753	78205439-78205518	78205945-78206050	Craniopharyngioma
CYRIA	16625728-16625769	16623863-16624019	16665779-16665834	Craniopharyngioma
POLR2J3	102543525-102543702	102541500-102541662	102544705-102544776	Craniopharyngioma
POLR2J3	102543525-102543697	102541500-102541662	102544705-102544776	Craniopharyngioma
LIPE-AS1	42401169-42401360	42397158-42397224	42408257-42408443	Craniopharyngioma
CYTOR	87480223-87480607	87455504-87455645	87521206-87521413	Craniopharyngioma
MBIP	36305089-36305304	36300784-36300823	36308091-36308189	Craniopharyngioma
GJB6	20230698-20230807	20229579-20229749	20232193-20232319	Craniopharyngioma
LINC00339	22027414-22027534	22025521-22025643	22030279-22030374	Craniopharyngioma
ZNF816	52960027-52960177	52956026-52956104	52962726-52962861	Craniopharyngioma
TRIM16L	18723770-18723831	18722117-18722332	18727524-18727758	Craniopharyngioma
RNF212	1099716-1099927	1096764-1096839	1108342-1108404	Craniopharyngioma
ZNF223	44063265-44063566	44060748-44060841	44066063-44066219	Craniopharyngioma
DEF8	89950067-89950328	89949416-89949513	89954242-89954376	Craniopharyngioma
STAU1	49158939-49159146	49153932-49154071	49165996-49166285	Craniopharyngioma
CRAT	129108763-129108903	129107813-129108077	129110482-129110672	Craniopharyngioma
ATPAF2	18021422-18021663	18021122-18021238	18021744-18021857	Craniopharyngioma
MRPL23	1955611-1955781	1952781-1952855	1956255-1956609	Craniopharyngioma
ARL13B	93997080-93997136	93995873-93995944	94003658-94003908	Craniopharyngioma
SEMA3G	52443016-52443069	52442746-52442907	52444912-52445085	Craniopharyngioma
IGHG3	105770105-105770149	105769656-105769986	105770292-105770337	Craniopharyngioma
WDR86-AS1	151411228-151411312	151409160-151409382	151411669-151411792	Craniopharyngioma
NAV1	201787653-201787768	201786549-201786577	201788467-201788638	Craniopharyngioma
ENSG00000248751	30286263-30286376	30286015-30286098	30286824-30286948	Craniopharyngioma
FMN1	33064957-33065074	33008013-33008075	33153047-33155045	Craniopharyngioma
TTN-AS1	178591139-178591314	178523451-178523636	178597595-178597681	Craniopharyngioma
ENSG00000285756	3822374-3822580	3818441-3818500	3828505-3828597	Craniopharyngioma
CD44	35208105-35208206	35189834-35190065	35211245-35211253	Craniopharyngioma
CCDC91	28255581-28255662	28190445-28190641	28257201-28257245	Craniopharyngioma
ZNF814	57876916-57877042	57858814-57858983	57888766-57888780	Craniopharyngioma
FRMD6	51491411-51491534	51489099-51489420	51570347-51570410	Craniopharyngioma
EPB41L2	130880144-130880206	130878103-130878250	130880453-130880489	Craniopharyngioma
LSM4	18310110-18310214	18309677-18309861	18312603-18312702	Craniopharyngioma
NRG1	32742008-32742075	32727948-32728078	32742674-32743224	Craniopharyngioma
SNTG1	50457022-50457080	50450687-50450729	50502777-50502880	Craniopharyngioma
ENSG00000268362	24036253-24036382	24033432-24033621	24046183-24046279	Craniopharyngioma
PNPLA6	7535127-7535202	7534749-7534902	7535508-7535577	Craniopharyngioma
CCND2	4285275-4285316	4278759-4278919	4288841-4288990	Craniopharyngioma
PROSER2	11862912-11863042	11851996-11852215	11866530-11866776	Craniopharyngioma
LYPD6B	149119103-149119163	149038717-149038801	149130882-149130953	Craniopharyngioma
C2CD3	74016599-74016801	74013443-74013525	74028286-74028398	Craniopharyngioma
MBP	77097251-77097474	77066297-77066385	77105210-77105286	Craniopharyngioma
KRT5	52518453-52518493	52518102-52518163	52518945-52519117	Craniopharyngioma
ATP6V1H	53806742-53806858	53801798-53801896	53814661-53814766	Craniopharyngioma
TBC1D5	17576414-17576549	17508473-17508605	17586352-17586466	Craniopharyngioma
ERC1	998324-998482	990508-990629	1027747-1028572	Craniopharyngioma
ODAM	70200102-70200149	70198578-70198626	70200496-70200601	Craniopharyngioma
SUSD4	223363718-223363938	223363277-223363460	223364056-223364233	Craniopharyngioma
LDB2	16888674-16888758	16759157-16759260	16898353-16898378	Craniopharyngioma
SLC25A17	40797284-40797336	40794513-40794580	40799022-40799083	Craniopharyngioma
AMELX	11298103-11298144	11296778-11296826	11298235-11298277	Craniopharyngioma
NUP155	37309404-37309572	37309128-37309267	37310551-37310668	Craniopharyngioma
CEP41	130433869-130434041	130427954-130428018	130440933-130441016	Craniopharyngioma
SLC25A17	40797254-40797336	40794513-40794580	40799022-40799083	Craniopharyngioma
COL8A1	99685433-99685539	99638474-99638664	99691398-99691568	Craniopharyngioma
PTPN12	77563936-77564195	77537553-77537645	77571077-77571186	Craniopharyngioma
CD44	35198121-35198246	35189834-35190065	35211245-35211257	Craniopharyngioma
CLCA4	86563661-86563769	86560210-86560358	86565273-86565451	Craniopharyngioma
RNF217-AS1	124945299-124945439	124940383-124941524	124947930-124948098	Craniopharyngioma
SNHG16	76557970-76558279	76557765-76557857	76558373-76558600	Craniopharyngioma
GJB6	20231382-20231492	20229579-20229749	20232193-20232340	Craniopharyngioma
GJB6	20231382-20231505	20229579-20229749	20232193-20232313	Craniopharyngioma
TAF6	100115846-100115943	100114053-100114268	100119203-100119372	Craniopharyngioma
ENSG00000254092	20954655-20954744	20948822-20952916	21059869-21059935	Craniopharyngioma
EPN3	50536029-50536199	50532724-50532985	50536420-50536591	Craniopharyngioma
PPP1R13L	45404999-45405081	45398263-45398339	45406291-45406327	Craniopharyngioma
CCDC91	28198943-28199056	28190465-28190641	28225794-28225861	Craniopharyngioma
KLK5	50952747-50952814	50952584-50952668	50952949-50953065	Craniopharyngioma
DTX2	76497337-76497477	76492152-76492253	76500440-76500520	Craniopharyngioma
FYN	111818615-111818740	111813891-111814107	111846588-111846629	Craniopharyngioma
SNHG16	76557970-76558600	76557766-76557857	76561287-76561398	Craniopharyngioma
IL1RN	113121448-113121618	113117892-113118028	113127688-113127740	Craniopharyngioma
ARMCX2	101659408-101659501	101659075-101659148	101659757-101659835	Craniopharyngioma
THOC1	260718-260759	260185-260304	264025-264092	Craniopharyngioma
KLC1	103684986-103685036	103679308-103679518	103685637-103685702	DIPG or DMG
SP110	230170621-230170761	230165185-230169237	230172065-230172174	DIPG or DMG
CRB1	197344281-197344476	197328421-197329003	197356830-197357013	DIPG or DMG
PDPK1	2538502-2538771	2538019-2538136	2557702-2557963	DIPG or DMG
ZNF678	227582514-227582606	227563542-227563724	227654335-227654353	DIPG or DMG
DNAH14	225002783-225002927	224974090-224974153	225007412-225007544	DIPG or DMG
UBAC2	99231434-99231513	99200891-99200939	99238426-99238554	DIPG or DMG
TSGA10	99118551-99118686	99117543-99117759	99127047-99127176	DIPG or DMG
ZNF561-AS1	9626784-9627806	9621266-9621350	9632227-9632417	DIPG or DMG
TTN-AS1	178591139-178591314	178542221-178542361	178597595-178597681	DIPG or DMG
ITGB1	32938554-32938730	32935491-32935558	32958144-32958251	DIPG or DMG
BCS1L	218660307-218660421	218659759-218659800	218660938-218661217	DIPG or DMG
MRTFA	40519464-40519612	40463220-40463286	40533589-40533811	DIPG or DMG
UBA1	47198309-47198355	47190860-47190950	47198802-47198919	DIPG or DMG
DNAAF1	84177514-84177606	84175932-84176299	84177728-84177917	DIPG or DMG
IMPA1	81685763-81685963	81681497-81681584	81686251-81686283	DIPG or DMG
CNOT7	17243442-17243545	17242991-17243185	17245035-17245247	DIPG or DMG
HYOU1	119056279-119056418	119056069-119056167	119057019-119057134	DIPG or DMG
HYOU1	119056279-119056405	119056069-119056167	119057019-119057129	DIPG or DMG
GSTO2	104279370-104279471	104277893-104278116	104297577-104297684	DIPG or DMG
LTBP4	40616889-40617042	40614179-40614446	40619346-40619493	DIPG or DMG
SBF2	10188349-10188469	10042843-10042981	10193901-10193987	DIPG or DMG
UBE2G2	44779144-44779216	44777298-44777417	44787919-44787965	DIPG or DMG
DAPL1	158807672-158807790	158807054-158807115	158815704-158815993	DIPG or DMG
DNASE1	3656964-3657111	3656637-3656753	3657186-3657341	DIPG or DMG
CCDC112	115269703-115269798	115268881-115269000	115271212-115271626	DIPG or DMG
LTBP4	40616889-40617020	40614191-40614446	40619346-40619382	DIPG or DMG
UIMC1	176968555-176969291	176958092-176958154	176969600-176969706	DIPG or DMG
SLC35B3	8434385-8434430	8429863-8430157	8435342-8435545	DIPG or DMG
ELFN1	1688058-1688150	1666073-1666170	1709090-1709252	DIPG or DMG
SLC25A19	75288388-75288591	75286632-75286802	75289353-75289406	DIPG or DMG
SPTSSB	161347965-161348103	161345774-161346355	161359801-161359894	DIPG or DMG
NRG2	139865115-139865173	139855675-139855778	139865548-139865625	DIPG or DMG
USP34-DT	61471749-61471808	61471355-61471379	61482626-61482736	DIPG or DMG
NUMA1	72068496-72068617	72035901-72035975	72069841-72069911	DIPG or DMG
GAB2	78318143-78318219	78280600-78280901	78417645-78417822	DIPG or DMG
SLC25A26	66346364-66346408	66263331-66263379	66369477-66369542	DIPG or DMG
ANXA11	80156378-80156498	80155639-80155912	80157640-80157763	DIPG or DMG
GBAP1	155218456-155218479	155217963-155218049	155218847-155218887	DIPG or DMG
XKR8	27964185-27964235	27963496-27963693	27966502-27968077	DIPG or DMG
MAP2K7	7904451-7904548	7903906-7904068	7909754-7909896	DIPG or DMG
ARL6	97766632-97766690	97764520-97764977	97768080-97768230	DIPG or DMG
LINC01141	20377381-20377509	20372949-20373738	20398482-20398738	DIPG or DMG
MACF1	39391868-39391955	39387186-39388658	39422373-39422535	DIPG or DMG
PCAT19	41479379-41479536	41479080-41479284	41500583-41500644	DIPG or DMG
OTX2	56806704-56806738	56805359-56805575	56810158-56810222	DIPG or DMG
ATXN7L2	109485332-109485509	109483478-109484080	109486056-109486122	DIPG or DMG
EIF3H	116737237-116737287	116658812-116658980	116755665-116755829	DIPG or DMG
SHLD2	87175889-87176095	87170839-87170974	87180074-87180303	DIPG or DMG
TNC	115048260-115048532	115042218-115042341	115063795-115064068	DIPG or DMG
TNC	115063796-115064068	115046409-115046682	115073602-115073866	DIPG or DMG
AURKA	56388687-56388784	56388155-56388202	56392167-56392196	DIPG or DMG
ERMARD	169753287-169753372	169751621-169751663	169753863-169754032	DIPG or DMG
LIFR	38555005-38555065	38530505-38530666	38556333-38556636	DIPG or DMG
GLIPR1L2	75403017-75403146	75391100-75391350	75410433-75410679	DIPG or DMG
FUT8	65479707-65479784	65455620-65455718	65561336-65561685	DIPG or DMG
CDC14B	96509673-96509789	96500107-96503789	96515648-96515792	DIPG or DMG
STAT6	57100846-57100899	57099995-57100090	57102289-57102496	DIPG or DMG
SEMA5B	122958213-122958320	122948551-122948709	122961139-122961301	DIPG or DMG
ZNF385B	179522882-179522920	179518527-179518638	179544826-179544969	DIPG or DMG
SLC6A15	84911890-84912003	84891831-84892308	84912522-84912705	DIPG or DMG
OFD1	13751249-13751368	13749426-13749533	13753367-13753441	DIPG or DMG
RTKN	74439551-74439977	74432058-74432666	74440352-74440583	DIPG or DMG
ZFAND4	45651966-45652033	45648293-45648534	45663541-45663842	DIPG or DMG
UCHL5	193020307-193020381	193018404-193018820	193021096-193021195	DIPG or DMG
FHOD3	36649316-36649405	36625510-36625749	36658074-36658188	DIPG or DMG
ETFDH	158700879-158700919	158698986-158699130	158703422-158703591	DIPG or DMG
SRGAP3	9032650-9032752	9028099-9028130	9038062-9038090	DIPG or DMG
ENSG00000240240	40271887-40271999	40266950-40267100	40273998-40274128	DIPG or DMG
GTF2IP20	223952385-223952442	223951478-223952291	223954476-223954667	DIPG or DMG
DNAH14	225153750-225153826	225152696-225152883	225167938-225168028	DIPG or DMG
CLHC1	55181570-55181744	55177601-55177781	55206269-55206376	DIPG or DMG
PDE6B-AS1	654065-654213	653757-653971	655081-656213	DIPG or DMG
SPEF2	35791508-35791575	35779116-35779346	35792339-35792446	DIPG or DMG
MRPL9	151761962-151762010	151761474-151761552	151762104-151762155	DIPG or DMG
TBC1D7	13325094-13325174	13320831-13321095	13326786-13326906	DIPG or DMG
RHBDD1	226838073-226838154	226837547-226837770	226864603-226865065	DIPG or DMG
ADNP	50904766-50904849	50903888-50904001	50918738-50918781	DIPG or DMG
FBXO3	33763206-33763286	33758486-33758601	33768850-33769014	DIPG or DMG
FARP1	98437766-98437858	98435575-98435706	98438803-98438872	DIPG or DMG
TVP23A	10808537-10808606	10800296-10800338	10818102-10818182	DIPG or DMG
ZNF615	52000358-52000378	51994807-51994837	52001812-52001908	DIPG or DMG
ENSG00000227733	148225076-148225289	148216936-148217130	148226100-148226253	DIPG or DMG
ENSG00000223812	191559678-191559754	191425527-191425604	191569599-191569824	DIPG or DMG
SLC40A1	189578355-189578472	189575160-189575320	189579812-189579880	DIPG or DMG
GRB10	50710875-50710990	50705139-50705323	50732271-50732368	DIPG or DMG
NUDCD3	44413191-44413283	44404439-44404583	44427570-44427703	DIPG or DMG
PMP22	15232369-15232613	15229778-15231080	15239470-15239611	DIPG or DMG
RNF34	121404849-121405113	121402741-121402807	121416158-121416377	DIPG or DMG
LINC02820	85318958-85318979	85318059-85318115	85342471-85342912	DIPG or DMG
MTRF1L	152991185-152991416	152987361-152990095	152992856-152992974	DIPG or DMG
ZFAND2A-DT	1162962-1163217	1162351-1162543	1163451-1163495	DIPG or DMG
CNKSR2	21503244-21503332	21501519-21501588	21516484-21516631	DIPG or DMG
SCRN3	174397336-174397404	174395794-174396293	174398274-174398442	DIPG or DMG
ENSG00000283674	12596018-12596214	12594969-12595296	12601157-12601398	DIPG or DMG
UNC13A	17616408-17616464	17611762-17611855	17617701-17617849	DIPG or DMG
TTLL9	31884021-31884102	31879816-31879897	31887195-31887239	DIPG or DMG
ZFX	24177684-24177866	24175388-24175443	24179182-24179550	DIPG or DMG
TTN-AS1	178542222-178542361	178523291-178523636	178597595-178597900	DIPG or DMG
EIF4E	98909678-98909959	98901875-98901982	98929094-98929125	DIPG or DMG
FGFR3	1802914-1803064	1801911-1801986	1803691-1803836	DIPG or DMG
DNASE1	3656999-3657111	3656637-3656753	3657186-3657341	DIPG or DMG
ZNF772	57475660-57475786	57469585-57474421	57477276-57477566	DIPG or DMG
RIPK2	89762829-89762982	89757815-89758233	89765340-89765496	DIPG or DMG
TLR4	117708563-117708729	117704402-117704565	117712388-117715775	DIPG or DMG
ZMYM4	35358925-35359446	35325359-35325405	35370028-35370113	DIPG or DMG
SLFN12	35430471-35430613	35422820-35423068	35432187-35432257	DIPG or DMG
CUTALP	120844993-120845887	120843041-120843439	120847293-120847353	DIPG or DMG
ENSG00000223812	191568206-191568341	191559677-191559754	191569599-191569824	DIPG or DMG
ADAMTS9	64655792-64655875	64655575-64655691	64658501-64658791	DIPG or DMG
HS2ST1	86958440-86958507	86914871-86915160	87072933-87073172	DIPG or DMG
ZBTB20	114904327-114904368	114900303-114900342	114974365-114974416	DIPG or DMG
ENSG00000227486	55985999-55986224	55908231-55908800	56014844-56014961	DIPG or DMG
PTPRD	9414752-9414823	9397448-9397482	9574731-9574781	DIPG or DMG
LINC01549	17441677-17441843	17438820-17438997	17444082-17444200	DIPG or DMG
SH3YL1	260085-260702	253004-253115	262630-262786	DIPG or DMG
ZNF561-AS1	9627713-9627806	9626783-9626860	9632227-9632417	DIPG or DMG
RABGEF1	66770323-66770467	66740732-66740792	66771882-66772035	DIPG or DMG
HSCB	28743882-28743923	28742041-28742331	28751240-28751288	DIPG or DMG
KCNAB2	6091263-6091307	6090388-6090475	6094399-6094485	DIPG or DMG
PUF60	143820666-143820716	143818372-143818534	143821596-143821686	DIPG or DMG
MOG	29664630-29664767	29659318-29659666	29666151-29666265	DIPG or DMG
ZNF717	75732060-75732121	75716418-75716541	75741275-75741368	DIPG or DMG
KCNK15-AS1	44716625-44716793	44694891-44695507	44738819-44738896	DIPG or DMG
OSCP1	36447813-36447887	36438755-36438910	36450257-36450287	DIPG or DMG
ZNF736	64307981-64308315	64307458-64307682	64308460-64308625	DIPG or DMG
EIF3I	32226171-32226320	32222439-32222630	32228498-32228609	DIPG or DMG
INPP5K	1515427-1515585	1513871-1513979	1515887-1516118	DIPG or DMG
ZCWPW1	100415975-100416094	100409427-100409544	100425029-100425136	DIPG or DMG
RSRC2	122514712-122514728	122511108-122511188	122515104-122515227	DIPG or DMG
GOLT1B	21507117-21507151	21506884-21506976	21507943-21508109	DIPG or DMG
SKP1	134173701-134173766	134167169-134167243	134173925-134174022	DIPG or DMG
ALOX12-AS1	7002484-7002620	6985108-6985540	7009795-7009889	DIPG or DMG
PLAT	42206647-42206698	42193113-42193211	42207493-42207565	DIPG or DMG
HDAC10	50249103-50249168	50248661-50248751	50249327-50249454	DIPG or DMG
TFR2	100632082-100632198	100630888-100631052	100633000-100633104	DIPG or DMG
MEGF11	65909034-65909135	65906084-65906141	65912081-65912200	DIPG or DMG
ANKRD6	89628247-89628341	89627582-89627696	89629111-89629223	DIPG or DMG
PDZD7	101030512-101030684	101030061-101030384	101031072-101031144	DIPG or DMG
MLKL	74676301-74676425	74675617-74675764	74678898-74678980	DIPG or DMG
ZNF462	106930845-106931037	106930524-106930689	106932265-106932549	DIPG or DMG
PC	66957740-66957996	66872023-66872159	66958321-66958372	DIPG or DMG
SEMA5B	122911360-122911535	122910839-122911045	122911919-122912069	DIPG or DMG
